target,message,num_char,word_counts,sentance_count,preprocess_data,tf_num_char,tf_word_counts,tf_sentance_count
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,48,6,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wont go badly cheer,94,19,1
0,K tell me anything about you.,29,7,1,k tell anything,15,3,1
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,18,2,fear fainting housework quick cuppa,35,5,1
1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,159,30,2,thanks subscription ringtone uk mobile charged 5month please confirm replying yes reply charged,95,13,1
0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123,30,1,yup ok go home look timing msg xuhui going learn 2nd may lesson 8am,67,14,1
0,"Oops, I'll let you know when my roommate's done",47,12,1,oops ill let know roommate done,31,6,1
0,I see the letter B on my car,28,8,1,see letter b car,16,4,1
0,Anything lor... U decide...,27,6,1,anything youknow decide,23,3,1
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,37,4,hello hows saturday go texting see youd decided anything tomo im trying invite anything,87,14,1
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,20,4,pls go ahead watt wanted sure great weekend abiola,50,9,1
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,35,4,forget tell want need crave love sweet arabian steed mmmmmm yummy,65,11,1
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,34,2,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow,122,18,1
0,WHO ARE YOU SEEING?,19,5,1,seeing,6,1,1
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,22,3,great hope like man well endowed ltgt inch,42,8,1
0,No calls..messages..missed calls,32,7,1,callsmessagesmissed call,24,2,1
0,Didn't you get hep b immunisation in nigeria.,45,10,1,didnt get hep b immunisation nigeria,36,6,1
0,"Fair enough, anything going on?",31,7,1,fair enough anything going,26,4,1
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,16,1,yeah hopefully tyler cant could maybe ask around bit,52,9,1
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,37,4,dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospital weak sucker,100,17,1
0,What you thinked about me. First time you saw me in class.,58,14,2,thinked first time saw class,28,5,1
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,35,1,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt,87,15,1
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,17,1,k information x ride early tomorrow morning he crashing place tonight,69,11,1
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",291,69,6,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing,167,26,1
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,27,5,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,97,18,1
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,20,2,know mallika sherawat yesterday find lturlgt,44,6,1
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,37,7,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss,122,21,1
0,"Sorry, I'll call later in meeting.",34,9,1,sorry ill call later meeting,28,5,1
0,Tell where you reached,22,4,1,tell reached,12,2,1
0,Yes..gauti and sehwag out of odi series.,40,10,1,yesgauti sehwag odi series,26,4,1
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,29,3,gon na pick 1 burger way home cant even move pain killing,57,12,1
0,Ha ha ha good joke. Girls are situation seekers.,48,11,2,ha ha ha good joke girl situation seeker,40,8,1
0,Its a part of checking IQ,25,6,1,part checking iq,16,3,1
0,"Sorry my roommates took forever, it ok if I come by now?",56,14,1,sorry roommate took forever ok come,35,6,1
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,26,2,ok lar double check buddy hair dresser already said wun cut v short said cut look nice,86,17,1
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",153,31,2,valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589,100,14,1
0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124,29,2,today song dedicated day song dedicate send valuable frnds first rply,69,11,1
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",161,34,3,urgent awarded complimentary trip eurodisinc trav acoentry41 1000 claim txt dis 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj,130,16,1
1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",80,20,2,hear new divorce barbie come ken stuff,38,7,1
0,I plane to give on this month end.,34,9,1,plane give month end,20,4,1
0,Wah lucky man... Then can save money... Hee...,46,11,1,wah lucky man save money hee,28,6,1
0,Finished class where are you.,29,6,1,finished class,14,2,1
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,12,2,hi babe im home wan na something xx,35,8,1
0,K..k:)where are you?how did you performed?,42,14,1,kkwhere youhow performed,24,3,1
0,U can call me now...,20,6,1,call,4,1,1
0,I am waiting machan. Call me once you free.,43,11,2,waiting machan call free,24,4,1
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,16,2,thats cool gentleman treat dignity respect,42,6,1
0,I like you peoples very much:) but am very shy pa.,50,14,1,like people much shy pa,23,5,1
0,Does not operate after  &lt;#&gt;  or what,42,13,1,operate ltgt,12,2,1
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,20,3,still looking job much ta earn,30,6,1
0,"Sorry, I'll call later",22,6,1,sorry ill call later,20,4,1
0,K. Did you call me just now ah? ,32,9,1,k call ah,9,3,1
0,Ok i am on the way to home hi hi,32,10,1,ok way home hi hi,17,5,1
0,You will be in the place of that man,36,9,1,place man,9,2,1
0,Yup next stop.,14,4,1,yup next stop,13,3,1
0,"I call you later, don't have network. If urgnt, sms me.",55,16,2,call later dont network urgnt sm,32,6,1
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,30,3,real getting yo need 2 ticket one jacket im done already used multis,68,13,1
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,36,3,yes started send request make pain came back im back bed double coin factory got ta cash nitros,95,18,1
0,I'm really not up to it still tonight babe,42,10,1,im really still tonight babe,28,5,1
0,"Ela kano.,il download, come wen ur free..",41,11,1,ela kanoil download come wen free,33,6,1
0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,62,12,2,yeah dont stand close tho youll catch something,47,8,1
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,44,4,sorry pain ok meet another night spent late afternoon casualty mean havent done stuff42moro includes time sheet sorry,117,18,1
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,28,2,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt smile becoz someone still love see smiling,114,19,1
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,139,24,1,please call customer service representative 0800 169 6031 10am9pm guaranteed 1000 cash 5000 prize,97,14,1
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,23,3,havent planning buy later check already lido got 530 show e afternoon finish work already,89,15,1
1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",125,26,4,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml,91,14,1
0,Watching telugu movie..wat abt u?,33,8,1,watching telugu moviewat abt,28,4,1
0,i see. When we finish we have loads of loans to pay,51,13,2,see finish load loan pay,24,5,1
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",184,47,5,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob ham,110,20,1
0,Please don't text me anymore. I have nothing else to say.,57,14,2,please dont text anymore nothing else say,41,7,1
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,23,3,okay name price long legal wen pick ave x am xx,47,11,1
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,19,2,im still looking car buy gone 4the driving test yet,51,10,1
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,44,5,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,127,21,1
0,Umma my life and vava umma love you lot dear,44,10,1,umma life vava umma love lot dear,33,7,1
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,19,2,thanks lot wish birthday thanks making birthday truly memorable,63,9,1
0,"Aight, I'll hit you up when I get some cash",43,12,1,aight ill hit get cash,22,5,1
0,How would my ip address test that considering my computer isn't a minecraft server,82,15,1,would ip address test considering computer isnt minecraft server,64,9,1
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,28,4,know grumpy old people mom like better lying always one play joke,65,12,1
0,Dont worry. I guess he's busy.,30,9,2,dont worry guess he busy,24,5,1
0,What is the plural of the noun research?,40,9,1,plural noun research,20,3,1
0,Going for dinner.msg you after.,31,6,1,going dinnermsg,15,2,1
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,28,3,im ok co like 2 try new thing scared dun like mah co said loud,62,15,1
1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,159,33,7,gent trying contact last weekend draw show 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm,115,18,1
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,34,3,wa openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened,106,18,1
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,40,6,entered cabin pa said happy bday bos felt special askd 4 lunch lunch invited apartment went,91,16,1
1,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,153,32,1,winner specially selected 2 receive 1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18,110,17,1
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,14,2,goodo yes must speak friday eggpotato ratio tortilla needed,59,9,1
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,20,2,hmmmy uncle informed he paying school directly pls buy food,59,10,1
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,23,3,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires,127,17,1
1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",157,30,4,urgent mobile awarded 2000 bonus caller prize 5903 final try contact call landline 09064019788 box42wr29c 150ppm,112,16,1
0,here is my new address -apples&pairs&all that malarky,53,12,1,new address applespairsall malarky,34,4,1
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,29,2,today voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app,128,20,1
0,I am going to sao mu today. Will be done only at 12 ,52,14,2,going sao mu today done 12,26,6,1
0,ÌÏ predict wat time Ì_'ll finish buying?,40,9,1,predict wat time finish buying,30,5,1
0,"Good stuff, will do.",20,6,1,good stuff,10,2,1
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,56,4,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise,127,18,1
0,Are you there in room.,22,6,1,room,4,1,1
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,31,5,hey girl hope well del bak long time c give call sum time lucyxx,64,14,1
0,K..k:)how much does it cost?,28,11,1,kkhow much cost,15,3,1
0,I'm home.,9,4,1,im home,7,2,1
0,"Dear, will call Tmorrow.pls accomodate.",39,7,1,dear call tmorrowpls accomodate,31,4,1
0,First answer my question.,25,5,1,first answer question,21,3,1
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,126,29,3,sunshine quiz weekly q win top sony dvd player know country algarve txt ansr 82277 150 sptyrone,95,17,1
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,36,6,want 2 get laid tonight want real dogging location sent direct 2 mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31pmsg150p,142,25,1
0,I only haf msn. It's yijue@hotmail.com,38,10,2,haf msn yijuehotmailcom,23,3,1
0,He is there. You call and meet him,34,9,2,call meet,9,2,1
0,No no. I will check all rooms befor activities,46,10,2,check room befor activity,25,4,1
1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,35,2,youll rcv msg chat svc free hardcore service text go 69988 get nothing must age verify yr network try,101,19,1
0,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,86,24,4,got c lazy type forgot lect saw pouch like v nice,49,11,1
0,"K, text me when you're on the way",33,10,1,k text youre way,16,4,1
0,"Sir, Waiting for your mail.",27,7,1,sir waiting mail,16,3,1
0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",158,34,1,swt thought nver get tired little thing 4 lovable person cozsomtimes little thing occupy biggest part heart gud ni8,115,19,1
0,I know you are. Can you pls open the back?,42,12,2,know pls open back,18,4,1
0,Yes see ya not on the dot,25,7,1,yes see ya dot,14,4,1
0,Whats the staff name who is taking class for us?,48,11,1,whats staff name taking class u,31,6,1
1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,35,3,freemsg havent replied text im randy sexy female live local luv hear netcollex ltd 08700621170150p per msg reply stop end,121,20,1
0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,16,1,ummmawill call check inour life begin qatar pls pray hard,57,10,1
0,K..i deleted my contact that why?,33,9,1,ki deleted contact,18,3,1
0,Sindu got job in birla soft ..,30,7,1,sindu got job birla soft,24,5,1
0,The wine is flowing and i'm i have nevering..,45,11,1,wine flowing im nevering,24,4,1
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,16,1,yup thk cine better co need 2 go 2 plaza mah,44,11,1
0,Ok... Ur typical reply...,25,6,1,ok typical reply,16,3,1
0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,95,5,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done become one,202,36,1
0,Aaooooright are you at work?,28,6,1,aaooooright work,16,2,1
0,I'm leaving my house now...,27,7,1,im leaving house,16,3,1
0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,41,6,hello love get interview today happy good boy think meare missing,65,11,1
1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,21,3,customer service annoncement new year delivery waiting please call 07046744435 arrange delivery,95,12,1
1,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,146,30,1,winner specially selected 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810,108,17,1
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,25,1,keep safe need miss already envy everyone see real life,55,10,1
0,New car and house for my parents.:)i have only new job in hand:),64,19,2,new car house parentsi new job hand,35,7,1
0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,24,3,im love im excited day spend make happy,39,8,1
1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,29,3,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacyoubootydelious stop send stop frnd 62468,114,16,1
1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,35,5,bangbabes order way receive service msg 2 download content goto wap bangb tv mobile internetservice menu,104,16,1
0,I place all ur points on e cultures module already.,51,11,1,place point e culture module already,36,6,1
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,157,32,6,urgent trying contact last weekend draw show 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs,109,17,1
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,16,1,hi frnd best way avoid missunderstding wit beloved one,54,9,1
0,Great escape. I fancy the bridge but needs her lager. See you tomo ,67,15,3,great escape fancy bridge need lager see tomo,45,8,1
0,Yes :)it completely in out of form:)clark also utter waste.,59,16,1,yes completely formclark also utter waste,41,6,1
0,"Sir, I need AXIS BANK account no and bank address.",50,12,1,sir need axis bank account bank address,39,7,1
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,25,2,hmmm thk sure got time hop ard ya go 4 free abt muz call discus liao,68,16,1
0,What time you coming down later? ,33,7,1,time coming later,17,3,1
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,24,2,bloody hell cant believe forgot surname mr ill give clue spanish begin,70,12,1
0,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,18,2,well im gon na finish bath goodfine night,41,8,1
0,Let me know when you've got the money so carlos can make the call,65,15,1,let know youve got money carlos make call,41,8,1
0,U still going to the mall?,26,7,1,still going mall,16,3,1
0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,43,1,turn friend staying whole show wont back til ltgt feel free go ahead smoke ltgt worth,85,16,1
0,Text her. If she doesnt reply let me know so i can have her log in,66,17,2,text doesnt reply let know log,30,6,1
0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,29,3,hi spoke maneesha v wed like know satisfied experience reply toll free yes,74,13,1
0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,34,4,lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend,92,14,1
0,Lol no. U can trust me.,23,8,2,laugh loud trust,16,3,1
0,ok. I am a gentleman and will treat you with dignity and respect.,65,15,2,ok gentleman treat dignity respect,34,5,1
0,"He will, you guys close?",24,7,1,guy close,9,2,1
0,Going on nothing great.bye,26,4,1,going nothing greatbye,22,3,1
0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,33,6,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,89,14,1
0,"Haha awesome, be there in a minute",34,8,1,haha awesome minute,19,3,1
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,149,25,1,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed 1000 cash 5000 prize,107,15,1
0,Have you got Xmas radio times. If not i will get it now,55,14,2,got xmas radio time get,23,5,1
0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,22,3,jus reached home go bathe first si using net tell finish k,58,12,1
1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72,12,3,unique enough find 30th august wwwareyouuniquecouk,50,6,1
0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,44,5,im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week,113,20,1
0,Hi :)finally i completed the course:),37,10,1,hi finally completed course,27,4,1
0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111,24,2,stop however suggest stay someone able give or every stool,58,10,1
0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,22,3,hope youve settled new school year wishin gr8 day,49,9,1
0,Gud mrng dear hav a nice day,28,7,1,gud mrng dear hav nice day,26,6,1
0,Did u got that persons story,28,6,1,got person story,16,3,1
0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,64,16,2,hamster dead hey tmr meet 1pm orchard mrt,41,8,1
